"täysi";"plein";;"adjectif"
"täydellinen";"parfait";;"adjectif"
"täti";"tante";;"nom"
"tänään";"aujourd'hui";;"adverbe"
"tähti";"étoile";;"nom"
"työtön";"chomeur";;"nom"
"työttömyysturva";"assurance chômage";;"nom"
"työpaikka";"(lieu de) travail, emploi";;"nom"
"työntää";"pousser";;"verbe"
"työntekijä";"employé";;"nom"
"työnantaja";"employeur";;"nom"
"työläs";"laborieux";;"adjectif"
"työkalu";"outil";;"nom"
"työhuone";"bureau (pièce)";;"nom"
"työharjoittelu";"stage";;"nom"
"työhaastattelu";"entretien d'embauche";;"nom"
"tyytyväinen";"satisfait";;"adjectif"
"tyytymätön";"insatisfait";;"adjectif"
"tyyny";"oreiller, coussin";;"nom"
"tyyntyä";"se calmer (vent, eau)";;"verbe"
"tyyni";"calme, plat (air, lac, mer)";;"adjectif"
"tyylikäs";"stylé";;"adjectif"
"tytär";"fille (enfant)";;"nom"
"tyttöystävä";"(petite) copine";;"nom"
"tyttö";"fille";;"nom"
"typerä";"stupide, imbécile";;"adjectif"
"tynnyri";"tonneau";;"nom"
"tympäistä";"dégouter, lasser";;"verbe"
"tyly";"pas sympathique, désagréable";;"adjectif"
"tylsä";"emoussé/ennuyeux";;"adjectif"
"tykätä";"(bien) aimer";;"verbe"
"tyhmä";"bête, stupide";;"adjectif"
"tyhjä";"vide";;"adjectif"
"tyhjentää";"vider";;"verbe"
"tuulla";"souffler (vent)";;"verbe"
"tuuliviiri";"girouette";
"tuulimylly";"moulin à vent";;"nom"
"tuuli";"vent";;"nom"
"tuulettaa";"aérer, sécher";;"verbe"
"tuuhea";"épais, dense (cheveux, végétation)";;"adjectif"
"tutustua";"rencontrer, apprendre à connaître";;"verbe"
"tuttu";"connu, familier";;"adjectif"
"tuttipullo";"biberon";;"nom"
"tutti";"tétine";;"nom"
"tutkia";"investiguer";;"verbe"
"tuska";"douleur forte";;"nom"
"turvota";"gonfler";;"verbe"
"turvavyö";"ceinture de securité";;"nom"
"turvapaikanhakija";"demandeur d'asile";;"nom"
"turvallinen";"sûr, sans danger";;"adjectif"
"turkoosi";"turquoise";;"adjectif"
"turkki";"fourrure";;"nom"
"turisti";"touriste";;"nom"
"turha";"inutile";;"adjectif"
"tupakka";"tabac";
"tupaantuliaiset";"pendaison de crémaillère";;"nom"
"tupa";"cottage, salle à manger (ferme)";;"nom"
"tuottaa";"produire, causer";;"verbe"
"tuoremehu";"jus de fruits frais";;"nom"
"tuore";"frais, neuf";
"tuomari";"juge, arbitre";;"nom"
"tuoli";"chaise";;"nom"
"tuoksua";"sentir bon";;"verbe"
"tuoksu";"odeur";;"nom"
"tunturi";"montagne rocailleuse";;"nom"
"tunti";"heure";;"nom"
"tuntematon";"inconnu";;"adjectif"
"tunteeton";"insensible, impassible, froid";;"adjectif"
"tunteellinen";"sentimental, émotionnel";;"adjectif"
"tuntea";"connaître (qqn, qqch)/ressentir";;"verbe"
"tunnustella";"sentir (toucher)";;"verbe"
"tunnustaa";"avouer";;"verbe"
"tunnettu";"connu, célèbre";;"adjectif"
"tunneli";"tunnel";;"nom"
"tunne";"émotion, sentiment";
"tunkkainen";"mal aéré";;"adjectif"
"tunkeutua";"s'incruster";;"verbe"
"tunkea";"fourrer, remplir beaucoup";;"verbe"
"tungos";"foule dense dans un endroit";;"nom"
"tumma";"foncé";;"adjectif"
"tulva";"inondation";;"nom"
"tulppaani";"tulipe";;"nom"
"tulkki";"interprète";;"nom"
"tulitikku";"alumette";;"nom"
"tuliterä";"flambant neuf";;"adjectif"
"tulipalo";"incendie";;"nom"
"tuliainen";"cadeau (au retour d'un voyage)";;"nom"
"tuli";"feu";;"nom"
"tulevaisuus";"futur";;"nom"
"tulehtua";"s'inflammer, s'infecter";;"verbe"
"tukeva";"solide";;"adjectif"
"tukehtua";"s'asphyxier, s'étouffer (jusqu'au décès)";;"verbe"
"tukala";"inconfortable";;"adjectif"
"tuisku";"tempête";;"nom"
"tuikkia";"scintiller";;"verbe"
"tuijottaa";"fixer (du regard)";;"verbe"
"tuhoutua";"être détruit, dévasté";;"verbe"
"tuhota";"détruire";;"verbe"
"tuhma";"vilain, désobeissant (enfant)";;"adjectif"
"tuhlata";"gâcher (temps, argent)";;"verbe"
"tuhkarokko";"rougeole";;"nom"
"tuhka";"cendre";;"nom"
"trukki";"chariot élévateur";;"nom"
"tropiikki";"tropique";;"nom"
"treffit";"rendez-vous (amoureux)";;"nom"
"trampoliini";"trampoline";;"nom"
"traktori";"tracteur";;"nom"
"t-paita";"t-shirt";;"nom"
"totuus";"vérité";;"nom"
"tottua";"s'habituer à";;"verbe"
"totinen";"sérieux, guindé";;"adjectif"
"totella";"suivre les ordres de";;"verbe"
"torvi";"cor, trompette/klaxon";;"nom"
"torua";"reprocher, faire la lesson";;"verbe"
"torttu";"gâteau fourré";;"nom"
"torni";"tour";;"nom"
"torkkua";"piquer du nez";;"verbe"
"torkahtaa";"s'assoupir";;"verbe"
"tori";"place (centrale, du marché)";;"nom"
"toppatakki";"veste matelassée";;"nom"
"tonttu";"lutin";;"nom"
"tomaatti";"tomate";;"nom"
"toivoton";"desespéré";;"adjectif"
"toivoa";"espérer";;"verbe"
"toiveikas";"optimiste";;"adjectif"
"toistua";"se répéter, arriver à nouveau";;"verbe"
"toistaa";"répéter";;"verbe"
"toipua";"guérir";;"verbe"
"toimittaja";"journaliste";;"nom"
"toimisto";"bureaux";;"nom"
"toimia";"agir/bien fonctionner, marcher";;"verbe"
"toimelias";"actif, énergique";;"adjectif"
"tohvelit";"chaussons";;"nom"
"tohtia";"oser";;"verbe"
"todistus";"diplôme, certificat";;"nom"
"tivoli";"fête forraine";;"nom"
"tiuskia";"parler brusquement, avec agacement";;"verbe"
"tiukka";"serré (vêtement, nœud)/strict";;"adjectif"
"tiskata";"faire la vaisselle";;"verbe"
"tirkistää";"jeter un coup d'œil, épier";;"verbe"
"tippua";"goutter";;"verbe"
"tinkiä";"négocier (vente)";;"nom"
"timantti";"diamant";;"nom"
"tilli";"aneth";;"nom"
"tilkku";"morceau de tissue/lopin de terre";;"nom"
"tilkka";"goutte";;"nom"
"tilava";"spacieux";;"adjectif"
"tilata";"commander, s'abonner";;"verbe"
"tikkaat";"échelle";;"nom"
"tikka";"pic vert/fléchette";;"nom"
"tiikeri";"tigre";;"nom"
"tietosanakirja";"encyclopédie";;"nom"
"tietokone";"ordinateur";;"nom"
"tieto";"savoir, connaissance";;"nom"
"tiedustella";"interroger";;"verbe"
"tiede";"science";;"nom"
"tie";"route";;"nom"
"testata";"tester";;"verbe"
"terävä";"tranchant, affuté";;"adjectif"
"teräs";"acier";;"nom"
"terä";"lame";;"nom"
"terveyskeskus";"centre de santé";;"nom"
"terveys";"santé";;"nom"
"terveydenhoitaja";"personnel de santé publique";;"nom"
"tervehtiä";"saluer";;"verbe"
"terveellinen";"bon pour la santé";;"adjectif"
"terve";"en bonne santé";;"adjectif"
"terva";"goudron";
"teroittaa";"affuter";;"verbe"
"termospullo";"thermos";;"nom"
"terassi";"terrasse";;"nom"
"tennis";"tennis";;"nom"
"telttailla";"voyager/dormir sous la tente";;"verbe"
"teltta";"tente";;"nom"
"televisio";"télévision";;"nom"
"telakka";"cale sèche";;"nom"
"tekstiviesti";"SMS";;"nom"
"teksti";"texte";;"nom"
"teippi";"scotch";;"nom"
"teipata";"scotcher";;"verbe"
"tehtävä";"chose à faire, tâche";;"nom"
"tehokas";"efficace";;"adjectif"
"tehdas";"usine";;"nom"
"teettää";"se faire faire qqch par qqn/causer";;"verbe"
"teeskennellä";"prétendre, faire semblant";;"verbe"
"tee";"thé";;"nom"
"teatteri";"théâtre";;"nom"
"tavoittaa";"attraper, rattraper";;"verbe"
"tavata";"rencontrer";;"verbe"
"tavara";"chose, objet/marchandise, bien";;"nom"
"tavallinen";"courant, ordinaire";;"adjectif"
"tauti";"maladie";;"nom"
"taulu";"tableau (art ou école)";;"nom"
"tauko";"entracte, pause";;"nom"
"tatuointi";"tatouage";;"nom"
"tatti";"bolet";;"nom"
"tassu";"patte";;"nom"
"tasoittaa";"aplanir, égaliser";;"verbe"
"taskulamppu";"lampe de poche";;"nom"
"tasku";"poche";;"nom"
"tasapeli";"match nul";;"nom"
"tasainen";"égal, plat (surface)";;"adjectif"
"tasa-arvo";"égalité";;"nom"
"tarttua";"attraper, saisir/contaminer";;"verbe"
"tarra";"étiquette, sticker";;"nom"
"tarpeeton";"inutile, superflu";;"adjectif"
"tarpeellinen";"nécessaire";;"adjectif"
"tarmokas";"énergique, vigoureux";;"adjectif"
"tarkoittaa";"signifier, vouloir dire";;"verbe"
"tarkkailla";"observer, surveiller";;"verbe"
"tarkka";"précis, exact";;"adjectif"
"tarkistaa";"vérifier, relire, réviser";;"verbe"
"tarkastaa";"vérifier, inspecter";;"verbe"
"tarjous";"promotion";;"nom"
"tarjotin";"plateau (de service)";;"nom"
"tarjota";"offrir, proposer";;"verbe"
"tarjoilla";"servir (restaurantà";;"verbe"
"tarjoilija";"serveur";;"nom"
"tarina";"histoire";;"nom"
"tarha";"enclos, corral/garderie";;"nom"
"taputtaa";"tapoter/applaudir";;"verbe"
"tappio";"défaite/perte";;"nom"
"tappaa";"tuer";;"verbe"
"tapetti";"papier peint";;"nom"
"tapetoida";"tapisser";;"verbe"
"tapella";"se battre, se quereller";;"verbe"
"tapaturma";"incident";;"nom"
"tapahtuma";"évènement";;"nom"
"tanssia";"dancer";;"verbe"
"tanssi";"dance";;"nom"
"tankata";"faire le plein";;"verbe"
"tango";"tango";;"nom"
"tanakka";"costaud";;"adjectif"
"tammi";"chêne";;"nom"
"tamma";"jument";
"talviuni";"hibernation";;"nom"
"talvi";"hiver";;"nom"
"taluttaa";"guider (qqn ou qqch) en le tenant (main, laisse)";;"verbe"
"talonmies";"concierge";;"nom"
"talo";"maison";;"nom"
"talli";"écurie/garage (voiture)";;"nom"
"tallata";"piétiner";;"verbe"
"taksi";"taxi";;"nom"
"takki";"veste, manteau";;"nom"
"takka";"âtre";;"nom"
"takertua";"se prendre dans, se coincer dans";;"verbe"
"takaraivo";"arrière du crâne";;"nom"
"takapuoli";"(la partie) arrière de (qqch)/fesses, derrière";;"nom"
"tajuton";"inconscient (médical)";;"adjectif"
"tajuta";"réaliser, comprendre, se rendre compte";;"verbe"
"taivuttaa";"tordre";;"verbe"
"taivas";"ciel";;"nom"
"taivaanranta";"horizon";;"nom"
"taitoluistelu";"patinage artistique";;"nom"
"taito";"compétence, savoir-faire";;"nom"
"taiteilija";"artiste";;"nom"
"taitava";"doué";;"adjectif"
"taistella";"se battre, combattre";;"verbe"
"taipuisa";"flexible";;"adjectif"
"taipua";"se tordre";;"verbe"
"taikuri";"magicien, illusioniste";;"nom"
"taikina";"pâte (boulangerie, pâtisserie)";;"nom"
"taideteos";"œuvre d'art";;"nom"
"taidemaalari";"artiste peintre";;"nom"
"taide";"art";;"nom"
"tahtoa";"vouloir";;"verbe"
"tahra";"tache";;"nom"
